HI antigen strain,GISAID ID
A/Romania/495026/2021,EPI_ISL_9627690
A/Hungary/1/2022,EPI_ISL_9593232
A/Hungary/2/2022,EPI_ISL_9593233
A/Orebro/1/2021,EPI_ISL_5743010
A/Uppsala/1/2021,EPI_ISL_9402236
A/Uppsala/3/2021,EPI_ISL_9402233
A/Uppsala/6/2021,EPI_ISL_7637989
A/Sweden/1/2021,EPI_ISL_7638020
A/Uppsala/8/2021,EPI_ISL_9402231
A/Uppsala/11/2021,EPI_ISL_9402229
A/Uppsala/12/2021,EPI_ISL_9402020
A/Tripoli.LBN/7325/2021,EPI_ISL_9533465
A/Baabda.LBN/7463/2021,EPI_ISL_7992169
A/Baabda.LBN/7462/2021,EPI_ISL_7992243
A/Netherlands/10205/2021,EPI_ISL_8452432
A/Darwin/6/2021,EPI_ISL_1563628
A/Thuringen/1/2022,EPI_ISL_12219584
A/Norway/409/2022,EPI_ISL_12240184
A/Serbia/336/2022,EPI_ISL_12219509
A/Kosova/368/2021,EPI_ISL_12942467
A/Albania/9833/2021,EPI_ISL_12942255
A/Netherlands/10197/2021,EPI_ISL_12942943
A/Slovenia/8720/2022,EPI_ISL_12943148
A/Poland/52/2022,EPI_ISL_15938119
A/Poland/65/2022,EPI_ISL_15364236
A/Argentina/2973/2022,EPI_ISL_14660223
A/Norway/28359/2022,EPI_ISL_15364230
A/Lithuania/48774/2022,EPI_ISL_16751013
A/Belgium/S1074/2022,EPI_ISL_14648469
A/Austria/1494246/2022,EPI_ISL_14333114
A/Belgium/G0197/2022,EPI_ISL_14648475
A/Estonia/KL4914/2022,EPI_ISL_14381883
A/Estonia/KL4911/2022,EPI_ISL_14381884
A/Estonia/KL4967/2022,EPI_ISL_14381882
A/Austria/1510167/2022,EPI_ISL_14648463
A/Estonia/169447/2022,EPI_ISL_14381880
A/Estonia/169303/2022,EPI_ISL_14381881
A/Estonia/169446/2022,EPI_ISL_14491825
A/Estonia/169344/2022,EPI_ISL_14381885
A/Estonia/169343/2022,EPI_ISL_14381906
A/Austria/1510472/2022,EPI_ISL_13704097
A/Estonia/169390/2022,EPI_ISL_14381915
A/Estonia/169421/2022,EPI_ISL_14381909
A/Estonia/169420/2022,EPI_ISL_14381910
A/Estonia/169386/2022,EPI_ISL_14381911
A/Estonia/169385/2022,EPI_ISL_14381912
A/Estonia/169384/2022,EPI_ISL_14381913
A/Austria/1512885/2022,EPI_ISL_14381947
A/Austria/1513868/2022,EPI_ISL_14381934
A/Romania/521422/2022,EPI_ISL_14212982
A/Netherlands/10884/2022,EPI_ISL_12064244
A/Moldova/20837/2022,EPI_ISL_13704096
A/Victoria/208/2009,EPI_ISL_167304
A/Johannesburg/385/2009,EPI_ISL_60040
A/Mauritius/461/2009,EPI_ISL_60054
A/Ghana/FS-1031/2009,EPI_ISL_60049
A/Cameroon/422/2009,EPI_ISL_77125
A/Paris/6047/2009,EPI_ISL_77136
A/Cameroon/658/2009,EPI_ISL_77110
A/Algeria/G46/2009,EPI_ISL_66708
A/Suceava/87402/2012,EPI_ISL_107891
A/Bacau/88448/2012,EPI_ISL_107835
A/Stockholm/44/2011,EPI_ISL_102581
A/Turkey/08/2011,EPI_ISL_104112
A/Turkey/12/2011,EPI_ISL_104113
A/Belgium/G1063/2011,EPI_ISL_103294
A/Meknes/136H/2011,EPI_ISL_103286
A/Norway/2350/2011,EPI_ISL_100509
A/Casablanca/155/2011,EPI_ISL_103283
A/Tiznit/167/2011,EPI_ISL_103284
A/Oujda/144H/2011,EPI_ISL_103305
A/Dnipro/234/2014,EPI_ISL_162108
A/Georgia/699/2014,EPI_ISL_162112
A/Georgia/215/2014,EPI_ISL_163096
A/Belgium/14S0070/2014,EPI_ISL_163092
A/Hong Kong/7364/2014,EPI_ISL_168982
A/Hong Kong/6033/2014,EPI_ISL_168969
A/Hong Kong/7229/2014,EPI_ISL_168973
A/Hong Kong/7313/2014,EPI_ISL_168979
A/Paris/2511/2018,EPI_ISL_336105
A/Paris/2538/2018,EPI_ISL_336106
A/Paris/2671/2018,EPI_ISL_338766
A/Bretagne/026/2019,EPI_ISL_338741
A/Paris/029/2019,EPI_ISL_335986
A/Austria/1113943/2018,EPI_ISL_364763
A/Khmelnytskyi/155/2019,EPI_ISL_364795
A/Hong_Kong/2671/2019,EPI_ISL_391201
